City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,pregradnaya,43.9508,41.1994,283.34,89,57,1.21,RU,1698624885
287,sao felix do xingu,-6.6447,-51.995,300.35,54,73,0.91,BR,1698624885
288,waingapu,-9.6567,120.2641,302.08,67,56,3.97,ID,1698624885
289,hilo,19.7297,-155.09,301.07,78,40,3.6,US,1698624610
290,emiliano zapata,18.8333,-99.1833,299.49,50,40,1.54,MX,1698624885
291,sydney mines,46.2367,-60.2177,279.26,76,40,4.63,CA,1698624886
292,tocantins,-10.5,-48.0,300.31,30,38,1.22,BR,1698624886
293,galliano,29.4422,-90.2992,299.26,83,0,0.0,US,1698624886
294,itoman,26.1247,127.6694,298.58,62,20,5.14,JP,1698624886
295,sao vicente,-23.9631,-46.3919,300.52,59,100,3.13,BR,1698624886
296,mount gambier,-37.8333,140.7667,284.31,91,89,4.0,AU,1698624886
297,alice springs,-23.7,133.8833,305.9,6,58,7.72,AU,1698624887
298,boguchany,58.3814,97.4531,265.29,79,13,1.34,RU,1698624887
299,tosontsengel,48.7567,98.2839,268.73,96,100,1.33,MN,1698624887
300,kijang,35.2442,129.2139,287.0,64,20,1.38,KR,1698624888
301,oppdal,62.5943,9.6912,266.03,88,7,1.99,NO,1698624888
302,mbanza kongo,-6.267,14.2401,295.82,91,82,1.99,AO,1698624888
303,tual,-5.6667,132.75,300.79,78,100,4.49,ID,1698624888
304,lundazi,-12.2929,33.1782,296.91,44,71,4.54,ZM,1698624888
305,anadyr,64.75,177.4833,271.43,92,40,8.0,RU,1698624889
306,polyarnyy,69.1989,33.4478,266.58,94,100,2.72,RU,1698624889
307,khandyga,62.6667,135.6,267.27,96,100,1.2,RU,1698624889
308,deqen,29.9618,90.7188,273.39,80,82,2.1,CN,1698624889
309,cooper's town,26.8667,-77.5167,298.98,70,1,9.6,BS,1698624889
310,grand rapids,42.9634,-85.6681,279.62,93,100,3.09,US,1698624628
311,sainte-marie,-20.8968,55.5496,297.24,87,0,3.09,RE,1698624890
312,nizhneudinsk,54.9076,99.0276,264.0,67,6,1.03,RU,1698624890
313,emerald,-23.5333,148.1667,298.34,44,69,3.39,AU,1698624890
314,tazacorte,28.629,-17.9293,295.69,81,0,2.68,ES,1698624890
315,sumbawa besar,-8.5,117.4333,302.92,52,79,1.78,ID,1698624890
316,waitara,-38.925,174.25,285.93,89,100,7.51,NZ,1698624890
317,balykshi,47.0667,51.8667,280.15,93,6,5.0,KZ,1698624891
318,alaghsas,17.0187,8.0168,300.06,10,0,4.95,NE,1698624891
319,buala,-8.145,159.5921,303.01,69,92,2.54,SB,1698624891
320,baise city,23.8997,106.6133,295.56,99,41,0.82,CN,1698624891
321,uribia,11.7139,-72.266,301.23,75,74,2.95,CO,1698624891
322,isangel,-19.55,169.2667,299.21,73,20,3.09,VU,1698624891
323,tolanaro,-25.0319,46.9987,295.79,92,8,0.93,MG,1698624891
324,jieshi,22.8134,115.8257,296.15,78,83,5.27,CN,1698624892
325,torghay,49.6339,63.4981,283.08,79,5,7.66,KZ,1698624892
326,roma,43.2128,-75.4557,280.27,94,100,2.57,US,1698624892
327,iquique,-20.2208,-70.1431,292.1,82,83,3.54,CL,1698624838
328,smithville,39.3869,-94.5811,276.14,70,100,6.17,US,1698624893
329,yichun,47.7,128.9,278.35,60,100,0.56,CN,1698624711
330,sisimiut,66.9395,-53.6735,270.71,72,100,5.14,GL,1698624893
331,falmouth,50.1544,-5.0711,286.47,82,100,7.72,GB,1698624893
332,ulsteinvik,62.3432,5.8487,278.57,53,0,5.36,NO,1698624893
333,cafayate,-26.073,-65.9761,298.56,29,54,1.42,AR,1698624893
334,tobelo,1.7284,128.0095,301.46,71,55,1.05,ID,1698624894
335,boca suno,-0.7167,-77.1333,295.54,98,100,0.99,EC,1698624894
336,hell-ville,-13.4,48.2667,300.06,72,3,0.74,MG,1698624894
337,west bay,19.3667,-81.4167,299.26,90,75,1.54,KY,1698624894
338,paoua,7.2427,16.4406,294.46,95,33,1.32,CF,1698624894
339,thames,-37.1333,175.5333,288.6,96,100,8.33,NZ,1698624696
340,korenevo,55.6719,38.0078,273.5,94,100,2.0,RU,1698624895
341,ufa,54.775,56.0375,275.8,97,100,5.81,RU,1698624895
342,hono,57.6897,11.6497,278.24,99,100,7.05,SE,1698624895
343,ivdel',60.6911,60.4206,269.37,65,100,4.02,RU,1698624895
344,felipe carrillo puerto,19.5833,-88.05,297.66,81,1,1.78,MX,1698624896
345,sola,-13.8833,167.55,301.52,84,75,2.06,VU,1698624896
346,tutrakan,44.05,26.6167,288.87,57,1,2.17,BG,1698624896
347,stonehaven,56.9637,-2.2118,280.5,93,100,6.33,GB,1698624896
348,caister-on-sea,52.6481,1.7265,282.58,85,40,7.92,GB,1698624896
349,vilyuchinsk,52.9306,158.4028,277.0,87,98,2.19,RU,1698624896
350,lewistown,40.5992,-77.5714,284.37,100,100,0.0,US,1698624897
351,ramadi,33.4226,43.3058,299.85,29,100,2.06,IQ,1698624897
352,tukrah,32.5341,20.5791,294.38,81,10,3.86,LY,1698624897
353,palikir - national government center,6.9248,158.1611,299.62,100,100,1.54,FM,1698624897
354,dolinsk,47.35,142.8,280.0,57,7,1.54,RU,1698624897
